feature,importance
roll15_bikes_mean,7045.646484375
roll30_bikes_mean,2877.250732421875
util_bikes,500.9832763671875
roll60_bikes_mean,201.9929656982422
delta_docks_5m,126.08191680908203
roll15_net_bikes,102.83466339111328
roll30_net_bikes,74.02466583251953
hour,73.91773223876953
delta_bikes_5m,49.24529266357422
roll60_net_bikes,47.71527862548828
util_docks,34.38834762573242
nbr_docks_weighted,26.553207397460938
temp_c,26.311803817749023
nbr_bikes_weighted,25.7995662689209
dow,18.85988426208496
precip_mm,18.247379302978516
rhum_pct,17.897157669067383
weather_code,16.879688262939453
is_weekend,15.95212459564209
wind_kph,15.114856719970703
wind_dir_deg,14.763920783996582
pres_hpa,13.974053382873535
is_holiday,11.604467391967773
