feature,importance
roll15_bikes_mean,6981.779296875
roll30_bikes_mean,2906.724609375
util_bikes,653.6929321289062
roll60_bikes_mean,199.72335815429688
delta_docks_5m,124.1008529663086
roll15_net_bikes,100.775390625
hour,75.73491668701172
roll30_net_bikes,73.32156372070312
delta_bikes_5m,55.92892837524414
roll60_net_bikes,46.104530334472656
util_docks,34.50844955444336
nbr_docks_weighted,27.45595359802246
nbr_bikes_weighted,26.600215911865234
temp_c,25.672954559326172
is_weekend,21.63768768310547
precip_mm,20.679466247558594
weather_code,20.665910720825195
dow,19.442398071289062
rhum_pct,17.543527603149414
wind_kph,15.105069160461426
wind_dir_deg,14.56835651397705
pres_hpa,13.414082527160645
is_holiday,10.567838668823242
