feature,importance
roll15_bikes_mean,2841.080810546875
roll30_bikes_mean,807.1234741210938
util_bikes,502.85675048828125
roll60_bikes_mean,54.191802978515625
delta_docks_5m,51.9473762512207
roll15_net_bikes,47.5731086730957
hour,44.54359436035156
roll60_net_bikes,38.19697189331055
roll30_net_bikes,32.93621826171875
nbr_bikes_weighted,19.263181686401367
util_docks,19.193742752075195
rhum_pct,18.654678344726562
wind_kph,16.540639877319336
nbr_docks_weighted,16.326515197753906
temp_c,15.754196166992188
delta_bikes_5m,14.461163520812988
pres_hpa,12.196314811706543
weather_code,11.091877937316895
wind_dir_deg,10.575345993041992
dow,8.737615585327148
