feature,importance
roll15_bikes_mean,4480.3681640625
roll30_bikes_mean,1651.366455078125
delta_bikes_5m,214.9063262939453
roll15_net_bikes,165.40623474121094
util_bikes,163.08041381835938
hour,102.25227355957031
roll30_net_bikes,68.13774871826172
delta_docks_5m,59.05168533325195
is_weekend,53.13101577758789
hourly_temperature_c,50.13718032836914
nbr_bikes_weighted,33.590972900390625
dow,33.13063430786133
neighbor_count_within_radius,29.275798797607422
roll60_net_bikes,29.04159927368164
roll60_bikes_mean,24.809354782104492
minutes_since_prev_snapshot,20.615480422973633
temperature_c,19.76433563232422
humidity_pct,17.592544555664062
util_docks,14.973963737487793
hourly_humidity_pct,14.724863052368164
hourly_precipitation_mm,14.229387283325195
weather_code,14.059876441955566
wind_speed_ms,14.002823829650879
hourly_weather_code,13.780917167663574
hourly_wind_speed_ms,13.314891815185547
nbr_docks_weighted,12.522157669067383
has_neighbors_within_radius,1.8593013286590576
