feature,importance
util_docks,2067.47216796875
util_bikes,1255.9908447265625
roll15_bikes_mean,268.3017272949219
roll60_bikes_mean,204.10772705078125
neighbor_count_within_radius,96.4151611328125
nbr_docks_weighted,85.41476440429688
hour,76.3629379272461
roll30_bikes_mean,74.20735931396484
roll60_net_bikes,39.48426055908203
temperature_c,27.2255859375
nbr_bikes_weighted,26.387468338012695
dow,25.26711082458496
hourly_temperature_c,24.561344146728516
hourly_precipitation_mm,23.588754653930664
hourly_humidity_pct,21.600475311279297
is_weekend,21.12963104248047
roll15_net_bikes,20.46812629699707
roll30_net_bikes,18.823163986206055
delta_bikes_5m,18.39934539794922
humidity_pct,17.15471839904785
delta_docks_5m,17.0918025970459
has_neighbors_within_radius,16.370763778686523
hourly_weather_code,15.711931228637695
hourly_wind_speed_ms,14.013972282409668
wind_speed_ms,10.849471092224121
minutes_since_prev_snapshot,9.933594703674316
weather_code,9.828609466552734
